Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FS","Données de la sécurité alimentaire","5000","Monde","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","794.8","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","5000","Monde","6132","Valeur","210010","Nombre de personnes sous-alimentées (millions) (valeur annuelle)","2013","2013","millions","794.9","F","Estimation FAO"
